APN,Longitude,Latitude,Name,Address,Community,ConstructionType,HousingType,HCIDLA_Funded,Leverage,TECB,TDC,Photo
2119021045,-118.5336334,34.20245417,Canby Woods Senior Housing,7238 N Canby Ave 1-98 Ca 91335,RESEDA,New Construction,Seniors,2347003,22425602,0,24772605,http://hcidapp.lacity.org/mpphotos/10-117559/Photo/Website/10-117559.JPG
2129035082,-118.5450224,34.20031987,Sherman Village,7135 N Wilbur Ave Ca 91335,RESEDA,New Construction,Family,2495405,23873005,0,26368410,http://hcidapp.lacity.org/mpphotos/10-117639/Photo/Website/10-117639.JPG
2125015003,-118.5345829,34.19033482,Riverwalk At Reseda,"18425 W Kittridge St  Reseda, Ca 91335",RESEDA,New Construction,Family,301059,23698618,0,23999677,http://hcidapp.lacity.org/mpphotos/12-118779/Photo/Website/12-118779.JPG
2103009036,-118.5362797,34.21656566,Coral Wood Court,8025 N Reseda Blvd Ca 91335,RESEDA,Acquisition + Rehab,Family,0,13355261,13000000,26355261,http://hcidapp.lacity.org/mpphotos/13-119142/Photo/Website/Coralwood%20Court%20Apt.png
7449014020,-118.2810727,33.74429276,Toberman Village / Aka Vista Alegre,"142 W Santa Cruz St 1-49  Los Angeles, Ca 90731",SAN PEDRO,New Construction,Family,4875640,10632391,1162445,16670476,http://hcidapp.lacity.org/mpphotos/070170/Photo/Website/toberman92711_006-.png
2263009024,-118.4659227,34.16288591,Orange Wood Court,5050 N Sepulveda Blvd Ca 91403,SHERMAN OAKS,Acquisition + Rehab,Family,0,7321491,9334100,16655591,http://hcidapp.lacity.org/mpphotos/13-119143/Photo/Website/orangewood%20court.png
5429008030,-118.281614,34.09448362,Laguna Senior Apts.,4201 W Sunset Blvd Ca 90029,SILVER LAKE,New Construction,Seniors,2310000,10951074,1850000,15111074,http://hcidapp.lacity.org/mpphotos/020290/Photo/Website/Laguna_sunset.jpg
5501001003,-118.2907801,34.07731997,Juanita Villas / Aka La Kretz Villas,"335-337 N Juanita Ave 1-49  Los Angeles, Ca 90004",SILVER LAKE,New Construction,Special Needs,4809092,7010004,0,11819096,http://hcidapp.lacity.org/mpphotos/09-117641/Photo/Website/lakretz335njuanita_52214_017.png
5433023040,-118.2734167,34.10587933,Silverlake Apartments,3740 W Evans St Ca 90027,SILVER LAKE,Rehab,Family,0,21533504,0,21533504,http://hcidapp.lacity.org/mpphotos/11-118594/Photo/Website/Silverlake.png
5110027025,-118.2786256,33.9963361,Broadway Village Ii,5101 S Broadway 1-50 Ca 90037,SOUTH PARK,New Construction,Family,1987378,10017311,0,12004689,http://hcidapp.lacity.org/mpphotos/010113/Photo/Website/CD_9_-_Broadway_Village_II_-_010113[1].png
5018034019,-118.2824317,34.00220972,Mansi Town Homes,4520 S Figueroa St 1-21 Ca 90037,SOUTH PARK,New Construction,Family,892500,4654752,0,5547252,http://hcidapp.lacity.org/mpphotos/040050/Photo/Website/CD%209%20-%20Mansi%20Town%20Homes%20-%20040050.jpg
5018037015,-118.2821401,33.99819518,Casa De Angeles,4900 S Figueroa St 1-49 Ca 90037,SOUTH PARK,New Construction,Family,3473280,12884573,0,16357853,http://hcidapp.lacity.org/mpphotos/060007/Photo/Website/CD%209%20-%20Casa%20de%20Angeles.jpg
5110015013,-118.2785288,33.99946995,36Th Street And Broadway Apartments,4777 S Broadway Ca 90037,SOUTH PARK,Rehab,Special Needs,2938772,8338570,0,11277342,http://hcidapp.lacity.org/mpphotos/080071/Photo/Website/080071b.JPG
5110025032,-118.274295,33.99606936,Sunrise Apartments,5125 S Main St 1-46 Ca 90037,SOUTH PARK,New Construction,Seniors,2202568,11040406,0,13242974,http://hcidapp.lacity.org/mpphotos/10-117556/Photo/Website/10-117556.JPG
5001033033,-118.2824732,33.9953637,Figueroa Apartments,"5216 S Figueroa St  Los Angeles, Ca 90037",SOUTH PARK,Rehab,Special Needs / Homeless,987637,3784378,0,4772015,http://hcidapp.lacity.org/mpphotos/11-117735/Photo/Website/Figueroa%20Apts.jpg
5067008008,-118.3423278,34.04432772,Windward Apts (A/B) (Site 4),4817 W Saturn St Ca 90019,MID-CITY,Rehab,Family,0,7438473,4641342,12079815,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
2629019017,-118.4049745,34.2334275,Palm Village Sr,9034 N Laurel Canyon Blvd Ca 91352,SUN VALLEY,New Construction,Seniors,1772385,8934200,0,10706585,http://hcidapp.lacity.org/mpphotos/040052/Photo/Website/CD_6_-_Palm_Village_Apts[1].png
